Timestamp;Regional Variant;iPhone Model;Condition;Current iOS;Battery issue on iOS update;The battery issue version;Display issue on iOS update;The display issue version; Noticeable difference in battery performance;The iOS version better/worst;Battery health percentage before;Battery health percentage current;Apple Charger;Percentage level the device on charging;Percentage level the device unplug from charge;Noticeable difference in overall performance;The version having better/worst performance;Are you Satisfied with your device so far?;Any feedback you want to provide?
2023/02/18 7:19:29 PM GMT+1;EU;13 Pro;New;16.3;Yes;16.3;No;;Yes;16.2;100;99;Original;20% - 30 %;80 % - 100 %;No;;6;after update 16.3  backup is decreased by performance is good
2023/02/18 10:07:53 PM GMT+1;EU;14 Pro;New;16.3.1;No;;No;;No;;100;100;Original;30 % - 40 %;80 % - 90 %;Yes;16.3.1;7;
2023/02/19 4:44:37 AM GMT+1;USA;14 Pro;New;16.3.1;No;;No;;No;;100;100;Original;20% - 30 %;80 % - 90 %;No;;8;
2023/02/19 9:45:27 AM GMT+1;USA;Xs Max;New;16.3.1;Yes;;No;;Yes;;100;86;Original;30 % - 40 %;90 % - 100 %;Yes;Don’t remember ;6;I phone is very good phone but nowadays I can see some display problem so that I am little bit confused about buy a new phone Currently I am using xs max last 3 year it’s time to update but I can’t because the display problem on 14 pro max Apple should be solve this problem as soon as possible
2023/02/19 10:23:19 AM GMT+1;USA;8 Plus;Used;16.3.1;Yes;16;No;;No;;93;80;Original;20% - 30 %;80 % - 90 %;Yes;IOS 15.1 was better on overall performance yhan IOS 16.3.1;3;
2023/02/19 10:59:44 AM GMT+1;Japan;iphone 11;Used;16.3;Yes;16.1;No;;Yes;iOS 16.1 had worst battery performance than iOS 16.2;84;79;Certified Third party;20% - 30 %;100 %;Maybe;N/A;6;
2023/02/19 12:12:13 PM GMT+1;USA;iPhone 12;New;16.3.1;Yes;16.3.1;No;;Yes;iOS 16.3.1 has worst battery performance than iOS 16.3;100;100;Certified Third party;20% - 30 %;90 % - 100 %;Maybe;16.3.1 is better than 16.3;6;ল্যাগ ইস্যু টা একটু কমলে আরও আরাম পেতাম চালিয়ে । এছড়া সব ঠিকঠাক।
2023/02/19 1:53:31 PM GMT+1;EU;14 Pro Max;New;16.3;No;;No;;No;;100;100;Original;20% - 30 %;80 % - 90 %;No;;8;
2023/02/19 2:50:19 PM GMT+1;USA;iPhone 7;Used;14.8;Yes;14.8;No;;Yes;14.8;100;75;Certified Third party;20% - 30 %;100 %;Yes;15.1 better;5;Let me download music on my phone!!!!
2023/02/19 4:31:02 PM GMT+1;USA;iPhone 13;New;16.3.1;Maybe;;No;;Yes;;100;100;Certified Third party;20% - 30 %;80 % - 90 %;No;;7;
2023/02/19 6:01:08 PM GMT+1;Honkong ;11 Pro Max;Used;16.1;Yes;16;No;16;Yes;16;87;86;Original;20% - 30 %;80 % - 90 %;Maybe;16;2;F££nig battery healt.apple should make battery’s more stronger or long lasting like android (samsung)
2023/02/19 6:30:30 PM GMT+1;USA;iPhone 13;New;16.3;No;;No;;Yes;;100;100;Certified Third party;20% - 30 %;90 % - 100 %;Yes;;7;
2023/02/19 6:45:59 PM GMT+1;Singapore;13 Pro Max;New;16.3;Yes;16.0;No;;Yes;16.3;100;95;Original;40% - 50%;90 % - 100 %;Yes;16.2;7;
2023/02/19 7:10:34 PM GMT+1;USA;14 Pro;New;16.3.1;No;;No;;No;;100;100;Original;40% - 50%;80 % - 90 %;No;;7;
2023/02/20 1:11:00 AM GMT+1;EU;12 Pro Max;New;16.1.1;No;;No;;No;;100;86;Certified Third party;20% - 30 %;90 % - 100 %;No;;7;
2023/02/20 4:51:42 AM GMT+1;USA;14 Pro;New;16.3.1;No;;No;;Maybe;;100;100;Original;20% - 30 %;80 % - 90 %;Maybe;;7;
2023/02/20 7:51:34 AM GMT+1;EU;14 Pro;New;16.1.1;No;;No;;Yes;iOS 14.8;100;100;Certified Third party;20% - 30 %;100 %;No;;7;No 
2023/02/20 9:45:28 AM GMT+1;USA;iPhone 12;New;16.3.1;Maybe;;No;;Yes;16.3.1 is providing good battery life;100;100;Original;20% - 30 %;90 % - 100 %;No;;7;Satisfied so far!
2023/02/20 10:35:55 AM GMT+1;USA;13 Pro Max;New;16.3.1;Maybe;15.6;No;;Yes;15.6 had worst battery life compared to 15.5;100;86;Original;20% - 30 %;90 % - 100 %;Maybe;15.6, iOS 16.2;7;
2023/02/20 10:39:35 AM GMT+1;USA;12 Pro Max;New;16.3.1;Yes;16.3.1;No;;Yes;16.2 has the better battery performance and Geekbench score higher in 12 pro max than 16.3.1;100;87;Original;20% - 30 %;80 % - 90 %;Yes;In IOS 16.2 Geekbench score was higher than 16.3.1 In 12 pro max;5;Solve issues like heating issue, battery issues, display issues....As a customer we need satisfaction...do not add more options due to software update...just ensure that after update customer don't face any problem.. Otherwise Apple is always best..
2023/02/20 10:43:29 AM GMT+1;USA;XS Max;Used;16.4;No;;No;;Yes;16.4 is better;86;84;Certified Third party;40% - 50%;100 %;No;Almost same;6;
2023/02/20 10:47:08 AM GMT+1;USA;iPhone 13;New;16.1.1;No;;No;;No;;100;88;Certified Third party;20% - 30 %;90 % - 100 %;No;;6;
2023/02/20 11:07:30 AM GMT+1;Japan;iPhone 13;New;16.3.1;No;;Yes;16;Yes;16.3 Good battery performance;100;98;Original;40% - 50%;100 %;No;;8;No comments
2023/02/20 12:44:16 PM GMT+1;Kuwait;13 Pro Max;New;15.5;No;;No;;No;;100;100;Original;20% - 30 %;80 % - 90 %;No;;8;
2023/02/20 12:58:24 PM GMT+1;USA;13 pro max;New;16.3.1;Yes;16;No;;Yes;16.2;100;93;Original;20% - 30 %;80 % - 90 %;No;;8;
2023/02/20 1:05:19 PM GMT+1;USA;iPhone X;Used;16.3;No;;No;;No;;88;88;Original;20% - 30 %;80 % - 90 %;No;;8;
2023/02/20 1:29:11 PM GMT+1;USA;12 Pro;New;16.1.1;Maybe;;No;;Yes;;84;83;Original;20% - 30 %;90 % - 100 %;Yes;;1;The sound on my mobile phone has decreased a lot before what is the reason?
2023/02/20 1:32:04 PM GMT+1;India;13 Pro;New;16.2;Yes;16.2;No;;Yes;;100;99;Original;30 % - 40 %;80 % - 90 %;Yes;;7;
2023/02/20 1:55:22 PM GMT+1;USA;iPhone 13;New;16.1.1;No;;No;;Yes;iOS 15.7 had the best battery performance than iOS156;100;100;Original;30 % - 40 %;90 % - 100 %;Maybe;;7;
2023/02/20 1:57:55 PM GMT+1;USA;14 Plus;New;16.3.1;Yes;16.3;No;;Yes;;100;98;Certified Third party;20% - 30 %;80 % - 90 %;Maybe;;7;
2023/02/20 2:21:26 PM GMT+1;Singapore;13 Pro Max;New;16.3.1;No;;No;;Yes;16.1;100;90;Original;20% - 30 %;100 %;No;;8;I brought my iphone 13 pro max on Oct 2021. After almost 17 months battery percentage is now 90%. 10% drop in 17 months I think normal.
2023/02/20 2:30:35 PM GMT+1;EU;11 Pro Max;New;16.1.2;No;;No;;No;;100;75;Original;20% - 30 %;80 % - 90 %;Maybe;;7;
2023/02/20 3:05:48 PM GMT+1;Singapore;13 Pro Max;Used;16.3.1;Yes;16.1.1;No;16.1;Maybe;16.1;96;89;Original;20% - 30 %;90 % - 100 %;Maybe;15.1;5;
